sale type,sold dat,property type,address,city,state,ZIP OR POSTAL CODE,zipcode,price,beds,baths,location,square feet,lot size,year built,days on market,dollar per square feet,hoa per moth,status,source,mls,favorite,interested,latitude,longitude
PAST SALE,October-12-2017,Townhouse,212 Cross Blossom Rd #285,Durham,NC,27703,27703,216047,3,2.5,Brightleaf,1600,1306,2017,953,135,165,Sold,TMLS,2120700,N,Y,35.9474363,-78.8134602
PAST SALE,October-12-2017,Townhouse,102 Irving Way,Durham,NC,27703,27703,222000,3,3,The Vistas,2051,1306,2009,953,108,170,Sold,TMLS,2144467,N,Y,35.9495836,-78.8144261
PAST SALE,October-12-2017,Townhouse,102 Irving Way,Durham,NC,27703,27703,222000,3,3,The Vistas,2051,1306,2009,953,108,170,Sold,TMLS,2144467,N,Y,35.9495836,-78.8144261
PAST SALE,October-12-2017,Single Family Residential,2109 Woodsdale Dr,Durham,NC,27703,27703,266500,3,2.5,Brightleaf,1949,11325,2007,953,137,88,Sold,TMLS,2147885,N,Y,35.9522309,-78.8117394
PAST SALE,October-12-2017,Single Family Residential,901 Southshore Pkwy,Durham,NC,27703,27703,278000,4,2.5,Grove Park,2270,18251,2002,953,122,52,Sold,TMLS,2140546,N,Y,35.9731348,-78.8169609
PAST SALE,October-12-2018,Single Family Residential,5106 Shagbark Dr,Durham,NC,27703-265,27703,205000,3,2,Stirrup Creek,1902,12588,1983,588,108,32,Sold,TMLS,2209323,N,Y,35.9244911,-78.8240515
PAST SALE,October-12-2018,Single Family Residential,5106 Shagbark Dr,Durham,NC,27703-265,27703,205000,3,2,Stirrup Creek,1902,12588,1983,588,108,32,Sold,TMLS,2209323,N,Y,35.9244911,-78.8240515
PAST SALE,October-12-2018,Townhouse,705 Keystone Park Dr #56,Morrisville,NC,27560,27560,205800,3,2.5,Keystone Crossing,1703,1481,2008,588,121,154,Sold,TMLS,2205037,N,Y,35.8704254,-78.8535436
PAST SALE,October-12-2018,Single Family Residential,5 White Spruce Ct,Durham,NC,27703,27703,236000,3,2.5,Wyndmoor at the Park,1884,5227,2013,588,125,40,Sold,TMLS,2211365,N,Y,35.9445319,-78.879774
PAST SALE,October-12-2018,Townhouse,210 Tuftin Dr,Durham,NC,27703,27703,240000,3,2.5,Townes at Brier Creek Crossing,1519,2178,2016,588,158,135,Sold,TMLS,2210282,N,Y,35.9234928,-78.7826485
PAST SALE,October-12-2018,Townhouse,210 Tuftin Dr,Durham,NC,27703,27703,240000,3,2.5,Townes at Brier Creek Crossing,1519,2178,2016,588,158,135,Sold,TMLS,2210282,N,Y,35.9234928,-78.7826485
PAST SALE,October-12-2018,Single Family Residential,2227 Tanners Mill Dr,Durham,NC,27703,27703,246000,3,2.5,Hanover Pointe,2032,4051,2013,588,121,40,Sold,TMLS,2217008,N,Y,35.9654512,-78.8312964
PAST SALE,October-12-2018,Townhouse,402 Berlin Way,Morrisville,NC,27560-9105,27560,255000,3,2.5,Breckenridge,1704,3049,2002,588,150,110,Sold,TMLS,2216963,N,Y,35.8447343,-78.8727367
PAST SALE,October-12-2018,Single Family Residential,11 Fieldcrest Ct,Durham,NC,27713,27713,345750,4,2.5,Hope Valley Farms,2580,10018,1990,588,134,20,Sold,TMLS,2202858,N,Y,35.9288594,-78.9490961
PAST SALE,October-12-2018,Townhouse,712 Garden Square Ln,Morrisville,NC,27560,27560,348000,4,3,Town Hall Commons,2731,3920,2010,588,127,155,Sold,TMLS,2190917,N,Y,35.8318777,-78.8441259
PAST SALE,October-12-2018,Townhouse,96200 Carteret,Chapel Hill,NC,27517,27517,359000,3,3.5,Vance Knoll,2228,2613,1996,588,161,641,Sold,TMLS,2189878,N,Y,35.843264,-79.040205
