SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-31-2017,Single Family Residential,403 N Queen St,Durham,NC,27701,302000,2,2.0,Cleveland Holloway,1327,10977,1950,1087,228,,Sold,,,http://www.redfin.com/NC/Durham/403-N-Queen-St-27701/home/43527298,TMLS,2116690,N,Y,35.9958669,-78.8951173
PAST SALE,June-28-2017,Single Family Residential,905 Washington St,Durham,NC,27701-1827,325000,4,2.0,Erwin Mills,1481,6359,1901,1059,219,,Sold,,,http://www.redfin.com/NC/Durham/905-Washington-St-27701/home/43522362,TMLS,2129163,N,Y,36.0059079,-78.9019259
PAST SALE,November-1-2017,Single Family Residential,703 Mallard Ave,Durham,NC,27701,325000,2,2.0,Cleveland Holloway,1324,4791,1924,933,245,,Sold,,,http://www.redfin.com/NC/Durham/703-Mallard-Ave-27701/home/43527570,TMLS,2152696,N,Y,35.9975582,-78.8902797
PAST SALE,April-9-2020,Vacant Land,807 S Alston Ave,Durham,NC,27701,320000,,,Pine Grove Park,,78669,,43,,,Sold,,,http://www.redfin.com/NC/Durham/807-S-Alston-Ave-27701/home/43534391,TMLS,2284110,N,Y,35.978305,-78.891513
PAST SALE,,Single Family Residential,1103 Lancaster St,Durham,NC,27701,200000,3,2.0,,1148,7013,2010,,174,,,,,http://www.redfin.com/NC/Durham/1103-Lancaster-St-27701/home/43519348,,,N,Y,36.0154188,-78.9134199
PAST SALE,August-3-2017,Single Family Residential,1512 Ruffin St,Durham,NC,27701,305000,3,2.0,Trinity Park,1212,11935,1983,1023,252,,Sold,,,http://www.redfin.com/NC/Durham/1512-Ruffin-St-27701/home/43521119,TMLS,2142023,N,Y,36.0156387,-78.9027217
PAST SALE,June-9-2017,Single Family Residential,1115 Park Ave,Durham,NC,27701,205000,3,2.0,Durham,1548,10018,1913,1078,132,,Sold,,,http://www.redfin.com/NC/Durham/1115-Park-Ave-27701/home/43530438,TMLS,2110672,N,Y,35.9973269,-78.8770323
PAST SALE,April-27-2020,Vacant Land,1116 N Buchanan Blvd,Durham,NC,27701,225000,,,Walltown,,13925,,25,,,Sold,,,http://www.redfin.com/NC/Durham/1116-N-Buchanan-Blvd-27701/home/44543617,TMLS,2226859,N,Y,36.016357,-78.911577
PAST SALE,,Single Family Residential,812 Lancaster St,Durham,NC,27701,284000,3,2.0,,1541,6882,1935,,184,,,,,http://www.redfin.com/NC/Durham/812-Lancaster-St-27701/home/43519025,,,N,Y,36.0106255,-78.9132321
PAST SALE,January-19-2018,Single Family Residential,808 Kent St,Durham,NC,27701,283750,5,3.0,West End,2279,7710,1959,854,125,,Sold,,,http://www.redfin.com/NC/Durham/808-Kent-St-27701/home/43527671,TMLS,2134990,N,Y,35.9948548,-78.9189454
PAST SALE,July-18-2017,Single Family Residential,901 Camden Ave,Durham,NC,27701,247000,3,1.0,Duke Park,1328,7100,1924,1039,186,,Sold,,,http://www.redfin.com/NC/Durham/901-Camden-Ave-27701/home/43527135,TMLS,2133115,N,Y,36.0111678,-78.8840633
PAST SALE,November-29-2017,Multi-Family (2-4 Unit),608 W Club Blvd,Durham,NC,27701,240000,4,2.0,Durham,2100,4660,1939,905,114,,Sold,,,http://www.redfin.com/NC/Durham/608-W-Club-Blvd-27701/home/43523083,TMLS,2146887,N,Y,36.0177129,-78.899417
PAST SALE,April-4-2018,Single Family Residential,1516 N Duke St,Durham,NC,27701,272500,2,1.0,Trinity Park,1110,8450,1930,779,245,,Sold,,,http://www.redfin.com/NC/Durham/1516-N-Duke-St-27701/home/43522757,TMLS,2175699,N,Y,36.0159578,-78.9052416
PAST SALE,June-29-2018,Single Family Residential,624 W Club Blvd,Durham,NC,27701,287000,3,2.0,Durham,1656,7535,1925,693,173,,Sold,,,http://www.redfin.com/NC/Durham/624-W-Club-Blvd-27701/home/43522296,TMLS,2194293,N,Y,36.0172542,-78.900688
PAST SALE,,Single Family Residential,514 Gordon St,Durham,NC,27701,280500,2,1.0,,846,11195,1910,,332,,,,,http://www.redfin.com/NC/Durham/514-Gordon-St-27701/home/43529158,,,N,Y,35.9945944,-78.9098393
PAST SALE,July-14-2017,Single Family Residential,927 Green St,Durham,NC,27701,280000,2,2.0,Trinity Park,1706,10193,1956,1043,164,,Sold,,,http://www.redfin.com/NC/Durham/927-Green-St-27701/home/43520369,TMLS,2128542,N,Y,36.0108773,-78.9079383
PAST SALE,May-24-2018,Single Family Residential,1304 Ruffin St,Durham,NC,27701-1649,236000,3,1.0,Trinity Park,962,8407,1946,729,245,,Sold,,,http://www.redfin.com/NC/Durham/1304-Ruffin-St-27701/home/43523019,TMLS,2185368,N,Y,36.0125822,-78.9028101
PAST SALE,March-1-2018,Single Family Residential,809 W Knox St,Durham,NC,27701-1645,320000,3,1.5,Northern Heights,1485,5662,1951,813,215,,Sold,,,http://www.redfin.com/NC/Durham/809-W-Knox-St-27701/home/43523330,TMLS,2169927,N,Y,36.012719,-78.9038269
PAST SALE,May-18-2018,Single Family Residential,711 Parker St,Durham,NC,27701,345000,3,2.0,Durham,2150,5880,1910,735,160,,Sold,,,http://www.redfin.com/NC/Durham/711-Parker-St-27701/home/43528760,TMLS,2185472,N,Y,35.9927204,-78.9127127
PAST SALE,March-23-2018,Single Family Residential,707 Yancey St,Durham,NC,27701-3149,329000,3,2.0,Morehead Hills,1292,6969,1920,791,255,,Sold,,,http://www.redfin.com/NC/Durham/707-Yancey-St-27701/home/43531097,TMLS,2177514,N,Y,35.9938833,-78.9125829
PAST SALE,May-29-2018,Single Family Residential,1415 Watts St,Durham,NC,27705,224500,2,2.0,Trinity Park,1280,4791,1960,724,175,,Sold,,,http://www.redfin.com/NC/Durham/1415-Watts-St-27701/home/43518913,TMLS,2179229,N,Y,36.0161701,-78.9111212
PAST SALE,June-30-2017,Multi-Family (2-4 Unit),1303 S Alston Ave,Durham,NC,27701,235000,8,3.0,Durham,2970,13285,1910,1057,79,,Sold,,,http://www.redfin.com/NC/Durham/1303-S-Alston-Ave-27701/home/43531951,TMLS,2131291,N,Y,35.9749425,-78.8932161
PAST SALE,May-4-2018,Single Family Residential,405 Everett Pl,Durham,NC,27701,326500,3,2.0,Duke Park,1444,8363,1940,749,226,,Sold,,,http://www.redfin.com/NC/Durham/405-Everett-Pl-27701/home/43522635,TMLS,2180143,N,Y,36.0134962,-78.8978695
PAST SALE,March-6-2018,Single Family Residential,1000 N Elizabeth St,Durham,NC,27701-331,297500,3,2.5,Durham,2377,7187,1944,808,125,,Sold,,,http://www.redfin.com/NC/Durham/1000-N-Elizabeth-St-27701/home/43527130,TMLS,2156245,N,Y,36.001769,-78.890309
PAST SALE,April-18-2018,Multi-Family (2-4 Unit),1012 Camden Ave,Durham,NC,27701,299000,8,4.0,Durham,2400,12632,2007,765,125,,Sold,,,http://www.redfin.com/NC/Durham/1012-Camden-Ave-27701/home/43527139,TMLS,2173604,N,Y,36.011002,-78.881831
PAST SALE,August-4-2017,Single Family Residential,1811 Glendale Ave,Durham,NC,27701-1323,265000,3,1.0,Duke Park,1217,9104,1949,1022,218,,Sold,,,http://www.redfin.com/NC/Durham/1811-Glendale-Ave-27701/home/43523144,TMLS,2123405,N,Y,36.013567,-78.8962668
PAST SALE,June-12-2018,Single Family Residential,407 Edward St,Durham,NC,27701,208000,2,1.0,Durham,1142,15376,1955,710,182,,Sold,,,http://www.redfin.com/NC/Durham/407-Edward-St-27701/home/43525042,TMLS,2161977,N,Y,36.0048178,-78.8879987
PAST SALE,,Single Family Residential,1224 N Roxboro St,Durham,NC,27701,245000,2,2.5,,1260,5097,1920,,194,,,,,http://www.redfin.com/NC/Durham/1224-N-Roxboro-St-27701/home/49676524,,,N,Y,36.0050537,-78.8923747
PAST SALE,February-14-2018,Single Family Residential,608 Canal St,Durham,NC,27701,271000,3,2.0,Durham,1263,6795,1920,828,215,,Sold,,,http://www.redfin.com/NC/Durham/608-Canal-St-27701/home/43525615,TMLS,2166713,N,Y,35.9982393,-78.8899442
PAST SALE,June-6-2018,Single Family Residential,725 Hopkins St,Durham,NC,27701,233000,2,2.0,Durham,1007,6098,1900,716,231,,Sold,,,http://www.redfin.com/NC/Durham/725-Hopkins-St-27701/home/43526230,TMLS,2178096,N,Y,35.9920479,-78.8883966
PAST SALE,November-28-2017,Single Family Residential,823 Pauli Murray Pl,Durham,NC,27701,218500,3,2.5,Pauli Murray Place,1471,5532,2005,906,149,,Sold,,,http://www.redfin.com/NC/Durham/823-Pauli-Murray-Pl-27701/home/43528800,TMLS,2155563,N,Y,35.9939441,-78.9163816
PAST SALE,March-1-2018,Single Family Residential,906 Arnette Ave,Durham,NC,27701,345000,3,2.0,Durham,1293,7405,1935,813,267,,Sold,,,http://www.redfin.com/NC/Durham/906-Arnette-Ave-27701/home/43602892,TMLS,2163942,N,Y,35.9923474,-78.9145693
PAST SALE,June-1-2018,Single Family Residential,810 Burch Ave,Durham,NC,27701,211500,3,1.0,Durham,1621,12371,1910,721,130,,Sold,,,http://www.redfin.com/NC/Durham/810-Burch-Ave-27701/home/43528264,TMLS,2186157,N,Y,35.9983008,-78.9153649
PAST SALE,,Other,1211 Eva St,Durham,NC,27703,240000,4,3.0,,1890,15899,1937,,127,,,,,http://www.redfin.com/NC/Durham/1211-Eva-St-27703/home/43531360,,,N,Y,35.993707,-78.878897
PAST SALE,May-15-2018,Single Family Residential,1101 Worth St,Durham,NC,27701,215000,3,2.5,Durham,1304,4922,2011,738,165,,Sold,,,http://www.redfin.com/NC/Durham/1101-Worth-St-27701/home/43527165,TMLS,2182380,N,Y,35.9894574,-78.8880871
PAST SALE,June-1-2017,Single Family Residential,811 Parker St,Durham,NC,27701,290000,2,2.0,Morehead Hills,1205,8494,1900,1086,241,,Sold,,,http://www.redfin.com/NC/Durham/811-Parker-St-27701/home/43531269,TMLS,2126612,N,Y,35.9927624,-78.9141255
PAST SALE,December-4-2017,Single Family Residential,904 Yancey St,Durham,NC,27701,252000,3,2.0,Proctor Place,1240,8058,1930,900,203,,Sold,,,http://www.redfin.com/NC/Durham/904-Yancey-St-27701/home/43594832,TMLS,2156117,N,Y,35.9941656,-78.9147019
PAST SALE,August-23-2017,Single Family Residential,807 N Elizabeth St,Durham,NC,27701,339000,3,2.5,Durham,1647,8276,2017,1003,206,,Sold,,,http://www.redfin.com/NC/Durham/807-N-Elizabeth-St-27701/home/43526978,TMLS,2117459,N,Y,35.9998212,-78.8906958
PAST SALE,May-30-2017,Single Family Residential,607 S Buchanan Blvd,Durham,NC,27701,285000,4,2.0,Durham,1557,9844,2011,1088,183,,Sold,,,http://www.redfin.com/NC/Durham/607-S-Buchanan-Blvd-27701/home/43531335,TMLS,2123338,N,Y,35.9962703,-78.9148676
PAST SALE,January-25-2018,Single Family Residential,1409 Watts St,Durham,NC,27701,243500,3,2.0,Durham,1230,6098,2000,848,198,,Sold,,,http://www.redfin.com/NC/Durham/1409-Watts-St-27701/home/43518973,TMLS,2149310,N,Y,36.0157421,-78.9110328
PAST SALE,October-2-2017,Single Family Residential,1109 Lancaster St,Durham,NC,27701-1147,265000,2,2.0,Durham,1069,6926,1940,963,248,,Sold,,,http://www.redfin.com/NC/Durham/1109-Lancaster-St-27701/home/43518921,TMLS,2148938,N,Y,36.015853,-78.913368
PAST SALE,September-26-2017,Single Family Residential,810 W Knox St,Durham,NC,27701,340000,3,2.0,Trinity Park,1979,8276,1950,969,172,,Sold,,,http://www.redfin.com/NC/Durham/810-W-Knox-St-27701/home/43521215,TMLS,2146454,N,Y,36.0131767,-78.9037827
PAST SALE,June-9-2017,Single Family Residential,1007 Hazel St,Durham,NC,27701,295000,3,2.0,Cleveland Holloway,1636,5662,2017,1078,180,,Sold,,,http://www.redfin.com/NC/Durham/1007-Hazel-St-27701/home/43525605,TMLS,2107541,N,Y,35.9978711,-78.8891483
PAST SALE,September-14-2017,Single Family Residential,1009 N Roxboro St,Durham,NC,27701,222000,3,2.0,Five Points,1187,6098,1997,981,187,,Sold,,,http://www.redfin.com/NC/Durham/1009-N-Roxboro-St-27701/home/43526229,TMLS,2140183,N,Y,36.0009706,-78.8940119
PAST SALE,May-30-2017,Condo/Co-op,109 W Main St #202,Durham,NC,27701,246000,1,1.0,Durham,656,,1927,1088,375,300,Sold,,,http://www.redfin.com/NC/Durham/109-W-Main-St-27701/unit-202/home/161130189,TMLS,2116447,N,Y,35.9950708,-78.901173
PAST SALE,December-20-2018,Single Family Residential,626 W Club Blvd,Durham,NC,27701,275000,2,1.0,Durham,1365,8058,1938,519,201,,Sold,,,http://www.redfin.com/NC/Durham/626-W-Club-Blvd-27701/home/43521262,TMLS,2223661,N,Y,36.0172329,-78.9009091
PAST SALE,May-1-2018,Single Family Residential,802 Pauli Murray Pl,Durham,NC,27701,220000,3,2.5,Durham,1217,4573,2006,752,181,,Sold,,,http://www.redfin.com/NC/Durham/802-Pauli-Murray-Pl-27701/home/43599657,TMLS,2177474,N,Y,35.9953621,-78.9171773
PAST SALE,July-16-2018,Single Family Residential,803 N Duke St,Durham,NC,27701,235000,2,1.0,Trinity Park,900,6664,1900,676,261,,Sold,,,http://www.redfin.com/NC/Durham/803-N-Duke-St-27701/home/43593558,TMLS,2192635,N,Y,36.0069426,-78.9058164
PAST SALE,,Single Family Residential,520 E Geer St,Durham,NC,27701,225000,3,2.0,,1883,19776,1956,,119,,,,,http://www.redfin.com/NC/Durham/520-E-Geer-St-27701/home/43525138,,,N,Y,36.0033569,-78.8865174
PAST SALE,March-28-2019,Single Family Residential,1515 Rosewood St,Durham,NC,27701,223000,4,2.0,Durham,2196,10454,1963,421,102,,Sold,,,http://www.redfin.com/NC/Durham/1515-Rosewood-St-27701/home/43535005,TMLS,2236504,N,Y,35.9711323,-78.8928918
PAST SALE,April-3-2019,Condo/Co-op,500 N Duke St Unit 53-202,Durham,NC,27701,268900,1,1.0,Bullington Warehouse Condo,780,,1984,415,345,265,Sold,,,http://www.redfin.com/NC/Durham/500-N-Duke-St-27701/unit-53-202/home/43522442,TMLS,2233183,N,Y,36.0031672,-78.9052051
PAST SALE,December-4-2018,Single Family Residential,1710 Avondale Dr,Durham,NC,27704,228000,2,1.0,Durham,902,7187,1948,535,253,,Sold,,,http://www.redfin.com/NC/Durham/1710-Avondale-Dr-27701/home/43525149,TMLS,2211987,N,Y,36.0112402,-78.8861858
PAST SALE,June-14-2018,Single Family Residential,1203 Camden Ave,Durham,NC,27701-1426,200000,2,2.0,Durham,1285,8102,1948,708,156,,Sold,,,http://www.redfin.com/NC/Durham/1203-Camden-Ave-27701/home/43535758,TMLS,2190862,N,Y,36.0124153,-78.8807911
PAST SALE,July-2-2018,Condo/Co-op,506 N Mangum St #403,Durham,NC,27701,248000,1,1.0,Mangum 506 Condominium,627,,2009,690,396,184,Sold,,,http://www.redfin.com/NC/Durham/506-N-Mangum-St-27701/unit-403/home/43613069,TMLS,2188799,N,Y,35.9982736,-78.89746
PAST SALE,September-18-2018,Single Family Residential,1400 Glendale Ave,Durham,NC,27701,270000,2,1.0,Duke Park,886,9147,1935,612,305,,Sold,,,http://www.redfin.com/NC/Durham/1400-Glendale-Ave-27701/home/162880603,TMLS,2209057,N,Y,36.0091091,-78.8957363
PAST SALE,,Single Family Residential,620 Dupree St,Durham,NC,27701,290100,3,2.0,,1787,16814,1953,,162,,,,,http://www.redfin.com/NC/Durham/620-Dupree-St-27701/home/43530116,,,N,Y,35.9771249,-78.8973611
PAST SALE,,Condo/Co-op,401 N Gregson St #403,Durham,NC,27701,293000,2,1.5,,1364,,1926,,215,,,,,http://www.redfin.com/NC/Durham/401-N-Gregson-St-27701/unit-403/home/43612055,,,N,Y,36.0036473,-78.9084467
PAST SALE,February-8-2019,Condo/Co-op,323 W Main St Unit G,Durham,NC,27701-3215,310000,1,1.0,The Lofts,732,,1925,469,423,183,Sold,,,http://www.redfin.com/NC/Durham/323-W-Main-St-27701/unit-G/home/161377029,TMLS,2228103,N,Y,35.9963888,-78.9033959
PAST SALE,,Single Family Residential,508 Massey Ave,Durham,NC,27701,350000,4,1.5,,2548,6186,1941,,137,,,,,http://www.redfin.com/NC/Durham/508-Massey-Ave-27701/home/43531744,,,N,Y,35.9801519,-78.898971
PAST SALE,October-21-2019,Single Family Residential,1105 Taylor St,Durham,NC,27701,220000,3,2.0,Durham,1145,6098,2005,214,192,,Sold,,,http://www.redfin.com/NC/Durham/1105-Taylor-St-27701/home/43527089,TMLS,2279754,N,Y,35.9908272,-78.8869043
PAST SALE,,Single Family Residential,601 Dunbar St,Durham,NC,27701,275000,5,3.0,,2880,6098,1967,,95,,,,,http://www.redfin.com/NC/Durham/601-Dunbar-St-27701/home/43531266,,,N,Y,35.9788793,-78.8987206
PAST SALE,September-26-2019,Single Family Residential,1415 Glendale Ave,Durham,NC,27701,315000,2,1.0,Duke Park,1108,4965,1949,239,284,,Sold,,,http://www.redfin.com/NC/Durham/1415-Glendale-Ave-27701/home/43605415,TMLS,2270030,N,Y,36.0097319,-78.8961919
PAST SALE,September-25-2019,Multi-Family (2-4 Unit),1406 Evelyn St,Durham,NC,27701,255000,4,2.0,Durham,1524,8712,1967,240,167,,Sold,,,http://www.redfin.com/NC/Durham/1406-Evelyn-St-27701/home/43530484,TMLS,2273298,N,Y,36.0007815,-78.8803628
PAST SALE,November-19-2019,Single Family Residential,211 Hargrove St,Durham,NC,27701,307000,2,1.0,Old North Durham,975,5924,1935,185,315,,Sold,,,http://www.redfin.com/NC/Durham/211-Hargrove-St-27701/home/43521222,TMLS,2276172,N,Y,36.0042875,-78.896709
PAST SALE,November-22-2019,Condo/Co-op,109 W Main St #201,Durham,NC,27701,294000,1,1.0,Durham,806,,1930,182,365,300,Sold,,,http://www.redfin.com/NC/Durham/109-W-Main-St-27701/unit-201/home/169531494,TMLS,2285431,N,Y,35.9950708,-78.901173
PAST SALE,January-13-2020,Condo/Co-op,1105 W Main St #205,Durham,NC,27701,346938,1,1.5,Durham,985,,2019,130,352,291,Sold,,,http://www.redfin.com/NC/Durham/1105-W-Main-St-27701/unit-205/home/145075753,TMLS,2176781,N,Y,36.0012908,-78.9117609
PAST SALE,December-23-2019,Single Family Residential,702 Colonial St,Durham,NC,27701,330000,2,2.0,Durham,1302,20908,1925,151,253,,Sold,,,http://www.redfin.com/NC/Durham/702-Colonial-St-27701/home/43524576,TMLS,2290807,N,Y,36.008873,-78.8850029
PAST SALE,May-22-2019,Multi-Family (2-4 Unit),1000 N Buchanan Blvd,Durham,NC,27701,255000,3,2.0,Trinity Park,1750,8973,1954,366,146,,Sold,,,http://www.redfin.com/NC/Durham/1000-N-Buchanan-Blvd-27701/home/43518890,TMLS,2244591,N,Y,36.013415,-78.91175
PAST SALE,June-25-2019,Single Family Residential,1908 Glendale Ave,Durham,NC,27701,345000,2,1.0,Duke Park,1300,11325,1950,332,265,,Sold,,,http://www.redfin.com/NC/Durham/1908-Glendale-Ave-27701/home/43523166,TMLS,2241728,N,Y,36.0151844,-78.8956036
PAST SALE,June-27-2019,Single Family Residential,227 Knox Cir,Durham,NC,27701,293000,3,2.0,Durham,1893,9975,1963,330,155,,Sold,,,http://www.redfin.com/NC/Durham/227-Knox-Cir-27701/home/43524811,TMLS,2251249,N,Y,36.013042,-78.8883966
PAST SALE,,Single Family Residential,1510 Hollywood St,Durham,NC,27701,242000,3,2.0,,1118,9104,1995,,216,,,,,http://www.redfin.com/NC/Durham/1510-Hollywood-St-27701/home/43524662,,,N,Y,36.0089037,-78.8909501
PAST SALE,March-3-2020,Single Family Residential,1111 Lancaster St,Durham,NC,27701-1147,205000,3,2.0,Durham,1080,7013,1940,80,190,,Sold,,,http://www.redfin.com/NC/Durham/1111-Lancaster-St-27701/home/43518922,TMLS,2293072,N,Y,36.015963,-78.913477
PAST SALE,March-26-2020,Townhouse,239 Lafferty St Unit DPT Lot 139,Durham,NC,27703,284270,3,2.5,Durham,1558,2962,2020,57,182,119,Sold,,,http://www.redfin.com/NC/Durham/239-Lafferty-ST-27703/unit-DPT-Lot-139/home/170185549,TMLS,2294232,N,Y,35.994878,-78.897108
PAST SALE,March-27-2020,Single Family Residential,620 Massey Ave,Durham,NC,27701,239500,3,2.0,Stokesdale,1282,6141,1945,56,187,,Sold,,,http://www.redfin.com/NC/Durham/620-Massey-Ave-27701/home/43535276,TMLS,2300260,N,Y,35.9796951,-78.8968858
PAST SALE,August-6-2019,Condo/Co-op,506 N Mangum St #101,Durham,NC,27701,287500,1,1.0,Mangum 506 Condominium,729,,2009,290,394,198,Sold,,,http://www.redfin.com/NC/Durham/506-N-Mangum-St-27701/unit-101/home/110074423,TMLS,2265957,N,Y,35.9982736,-78.89746
PAST SALE,,Condo/Co-op,713 Liberty St,Durham,NC,27701,300000,,,,3000,,1972,,100,,,,,http://www.redfin.com/NC/Durham/713-Liberty-St-27701/home/43526744,,,N,Y,35.9930461,-78.8891925
PAST SALE,July-31-2019,Multi-Family (2-4 Unit),1214 Granby St,Durham,NC,27701,303000,6,5.0,Durham,2187,10890,2009,296,139,,Sold,,,http://www.redfin.com/NC/Durham/1214-Granby-St-27701/home/43609230,TMLS,2265120,N,Y,35.999946,-78.8840522
